Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,41,290,M-N,2.182926829268293,0.9494790798280297,0.9390243902439024,0.9634146341463414,0.975609756097561
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,134,366,1-N,836.5485074626865,0.4644469076128148,0.4291044776119403,0.48507462686567165,0.5261194029850746
2,/media_common/netflix_genre/titles,286,367,1-N,575.2954545454545,0.315777278446651,0.2465034965034965,0.34440559440559443,0.458041958041958
3,/award/award_winner/awards_won./award/award_honor/award_winner,1012,368,1-1,2379.0998023715415,0.08254969449853708,0.051877470355731224,0.08448616600790514,0.1432806324110672
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,261,335,M-1,209.02298850574712,0.4150115265243355,0.3007662835249042,0.5229885057471264,0.5996168582375478
5,/sports/sports_position/players./soccer/football_roster_position/team,259,358,1-N,180.48069498069498,0.405275499498522,0.2915057915057915,0.5135135135135135,0.5888030888030888
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,124,351,M-N,9.778225806451612,0.4117080934586064,0.3225806451612903,0.4032258064516129,0.6491935483870968
7,/film/film/starring./film/performance/actor,1060,368,1-1,2245.7056603773585,0.06129837755887014,0.046698113207547166,0.06415094339622641,0.08349056603773584
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,258,344,M-1,143.43023255813952,0.41575918271560075,0.29844961240310075,0.5368217054263565,0.5988372093023255
9,/film/actor/film./film/performance/film,1083,331,1-1,2606.68513388735,0.05559868077271973,0.04247460757156048,0.057248384118190214,0.07710064635272391
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1018,358,M-1,556.4282907662083,0.10209219582188575,0.0618860510805501,0.0987229862475442,0.17730844793713163
11,/award/award_category/nominees./award/award_nomination/nominated_for,1067,359,1-N,583.244611059044,0.08991785594650598,0.05154639175257732,0.08434864104967198,0.16073102155576383
