Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,/location/country/form_of_government,42,292,M-N,17.44047619047619,0.4168815158662342,0.2857142857142857,0.5119047619047619,0.6190476190476191
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,147,339,1-N,985.4183673469388,0.31618951291454084,0.23469387755102042,0.3707482993197279,0.46258503401360546
2,/media_common/netflix_genre/titles,295,352,1-N,649.977966101695,0.21092732316356594,0.1423728813559322,0.23728813559322035,0.36271186440677966
3,/award/award_winner/awards_won./award/award_honor/award_winner,941,374,1-1,2083.743889479277,0.05827104120528153,0.0281615302869288,0.052072263549415514,0.12539851222104145
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,266,344,M-1,241.27067669172934,0.2799948785538064,0.13909774436090225,0.40037593984962405,0.5131578947368421
5,/sports/sports_position/players./soccer/football_roster_position/team,258,353,1-N,232.7248062015504,0.27243932088216144,0.13565891472868216,0.3682170542635659,0.5077519379844961
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,127,332,M-N,17.52755905511811,0.15138831851989265,0.03543307086614173,0.14960629921259844,0.4094488188976378
7,/film/film/starring./film/performance/actor,1038,340,1-1,2645.27408477842,0.0543470364315202,0.041425818882466284,0.055876685934489405,0.07514450867052024
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,249,395,M-1,306.4698795180723,0.2789197868132687,0.13855421686746988,0.38353413654618473,0.5100401606425703
9,/film/actor/film./film/performance/film,1019,356,1-1,2520.9234543670264,0.044844768700117686,0.0323846908734053,0.045142296368989206,0.06084396467124632
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1004,378,M-1,542.0069721115538,0.07316448773995814,0.029382470119521914,0.0647410358565737,0.15737051792828685
11,/award/award_category/nominees./award/award_nomination/nominated_for,1067,341,1-N,570.116213683224,0.07825522168060274,0.035145267104029994,0.07778819119025304,0.1583880037488285
12,/organization/membership_organization/members./organization/organization_membership/member,80,345,M-N,29.3875,0.34591093063354494,0.24375,0.38125,0.58125
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1799,371,1-1,2975.4255141745416,0.037994117588384606,0.021122846025569762,0.03668704836020011,0.06976097832128961
14,/olympics/olympic_sport/olympic_games_contested,81,329,M-N,10.648148148148149,0.18739282349009573,0.043209876543209874,0.14814814814814814,0.5864197530864198
15,/music/performance_role/regular_performances./music/group_membership/role,265,350,M-N,40.135849056603774,0.09830233016104069,0.026415094339622643,0.07735849056603773,0.22264150943396227
16,/award/award_category/winners./award/award_honor/ceremony,284,379,M-N,44.45422535211268,0.16700156305877256,0.06690140845070422,0.15492957746478872,0.3855633802816901
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,149,332,M-1,511.6140939597315,0.4653687957149224,0.45302013422818793,0.4697986577181208,0.49328859060402686
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,319,351,1-N,1241.6175548589342,0.3919109236857734,0.3495297805642633,0.4231974921630094,0.4482758620689655
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,362,373,1-1,1488.5759668508288,0.2573035224366583,0.19060773480662985,0.292817679558011,0.3770718232044199
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1412,322,M-1,549.4313031161473,0.04935379676710783,0.016288951841359773,0.03611898016997167,0.10764872521246459
21,/film/film/language,286,323,M-1,609.3129370629371,0.3079548548985194,0.243006993006993,0.3531468531468531,0.42132867132867136
22,/music/artist/genre,640,389,M-1,998.94921875,0.09856638312339783,0.053125,0.10546875,0.184375
23,/location/location/containedby,580,366,M-1,1618.1456896551724,0.19404942742709455,0.1456896551724138,0.21120689655172414,0.28793103448275864
24,/people/person/ethnicity,239,340,M-1,956.989539748954,0.21361088453476398,0.14644351464435146,0.23430962343096234,0.34518828451882844
25,/education/educational_institution/students_graduates./education/education/degree,255,367,M-1,126.29411764705883,0.1893213159897748,0.09607843137254903,0.18823529411764706,0.43137254901960786
26,/award/award_category/nominees./award/award_nomination/award_nominee,1365,350,1-N,1919.7263736263735,0.048889573764451695,0.02490842490842491,0.04798534798534799,0.0945054945054945
27,/award/award_ceremony/awards_presented./award/award_honor/award,330,327,M-N,125.07121212121213,0.16849957090435605,0.0696969696969697,0.16363636363636364,0.38484848484848483
28,/location/location/contains,569,381,1-N,1504.5755711775043,0.1970046031663623,0.14323374340949033,0.21968365553602812,0.29261862917398945
29,/organization/organization/headquarters./location/mailing_address/country,21,177,M-1,138.4047619047619,0.5031581606183734,0.47619047619047616,0.5238095238095238,0.5238095238095238
30,/people/person/profession,1231,384,M-1,1621.2424857839155,0.11110296179665287,0.05686433793663688,0.12347684809098294,0.23354995938261575
31,/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,660,319,1-N,385.0719696969697,0.1489185333251953,0.05909090909090909,0.1621212121212121,0.37803030303030305
32,/people/profession/people_with_this_profession,1236,364,1-N,1671.5416666666667,0.12020472801233187,0.06715210355987054,0.13187702265372167,0.23745954692556634
33,/film/film_costumer_designer/costume_design_for_film,27,188,1-N,3.888888888888889,0.6465259834572121,0.5370370370370371,0.7037037037037037,0.8518518518518519
34,/location/statistical_region/religions./location/religion_percentage/religion,56,380,M-N,92.14285714285714,0.21023426737104142,0.07142857142857142,0.21428571428571427,0.5357142857142857
35,/film/film_genre/films_in_this_genre,820,389,1-N,815.2908536585365,0.1168459357284918,0.05365853658536585,0.1274390243902439,0.25365853658536586
36,/tv/tv_genre/programs,100,355,M-N,50.8,0.30099752426147464,0.175,0.35,0.575
37,/award/award_nominee/award_nominations./award/award_nomination/award,1362,317,M-1,1839.4335535976504,0.06163194631164819,0.03340675477239354,0.06791483113069016,0.10719530102790015
38,/music/genre/artists,634,328,1-N,1289.4085173501578,0.08570189731730271,0.0417981072555205,0.09700315457413249,0.1632492113564669
39,/influence/influence_node/influenced_by,197,381,M-N,657.3147208121827,0.20527354593809485,0.1446700507614213,0.23096446700507614,0.2969543147208122
40,/education/educational_institution/students_graduates./education/education/student,287,332,1-N,2162.191637630662,0.1572867469920514,0.12195121951219512,0.17247386759581881,0.21951219512195122
41,/organization/organization_member/member_of./organization/organization_membership/organization,110,318,M-N,53.56818181818182,0.30999093489213425,0.19545454545454546,0.3409090909090909,0.5636363636363636
42,/people/person/place_of_birth,275,389,M-1,2726.2945454545456,0.1988728748668324,0.16363636363636364,0.21454545454545454,0.27090909090909093
43,/common/topic/webpage./common/webpage/category,652,357,M-1,3728.7891104294476,0.17731971974753163,0.13957055214723926,0.19631901840490798,0.2392638036809816
44,/media_common/netflix_title/netflix_genres,283,350,M-1,817.0406360424029,0.23764447862604904,0.16607773851590105,0.2597173144876325,0.3833922261484099
45,/sports/sports_position/players./american_football/football_historical_roster_position/team,66,332,M-N,17.954545454545453,0.20832788583004114,0.08333333333333333,0.19696969696969696,0.5378787878787878
46,/film/film/other_crew./film/film_crew_gig/film_crew_role,666,376,M-1,436.9542042042042,0.150856109710785,0.05930930930930931,0.16741741741741742,0.3731231231231231
47,/award/award_ceremony/awards_presented./award/award_honor/award_winner,330,377,1-N,1247.7121212121212,0.1604251630378492,0.10151515151515152,0.17272727272727273,0.2818181818181818
48,/film/film/country,248,362,M-1,547.4012096774194,0.31129507864675215,0.2439516129032258,0.35685483870967744,0.4274193548387097
49,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,233,377,M-N,38.42489270386266,0.1501581740481659,0.060085836909871244,0.14377682403433475,0.33047210300429186
50,/award/award_winning_work/awards_won./award/award_honor/award,405,374,M-1,520.1456790123457,0.14461873372395834,0.08765432098765433,0.15432098765432098,0.25308641975308643
